MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
2013,BMW,X3 XDRIVE 20D,Automatic,"71,479 km",DieselHR-26,2nd Owner,"₹10,24,000"
2013,Jaguar,XF 2.2 DIESEL,Automatic,"29,159 km",DieselDL-6C,2nd Owner,"₹15,06,000"
2013,Mercedes,Benz E Class E 220 CDI ELEGANCE,Automatic,"53,524 km",DieselHR-26,1st Owner,"₹10,68,000"
2014,Toyota,Corolla Altis VL AT,Automatic,"89,621 km",PetrolHR-26,1st Owner,"₹8,71,000"
2017,Toyota,Corolla Altis GL,Manual,"45,060 km",PetrolDL-10,2nd Owner,"₹11,98,000"
2015,Audi,A6 2.0 TDI TECHNOLOGY,Automatic,"77,595 km",DieselUP-16,2nd Owner,"₹18,23,000"
2018,Hyundai,Tucson New 2WD AT GL PETROL,Automatic,"33,253 km",PetrolUP-14,2nd Owner,"₹15,89,000"
2019,Jeep,Compass 1.4  LONGITUDE (O) AT,Automatic,"23,690 km",PetrolDL-3C,1st Owner,"₹19,23,000"
2018,Hyundai,Tucson New 2WD MT PETROL,Manual,"86,670 km",PetrolUP-14,2nd Owner,"₹14,38,000"
2020,Honda,City VX CVT PETROL,Automatic,"26,130 km",PetrolUP-14,2nd Owner,"₹12,58,100"
2015,Honda,City V MT PETROL,Manual,"62,672 km",PetrolUP-14,2nd Owner,"₹6,23,000"
2014,Honda,Amaze 1.2 EMT I VTEC,Manual,"49,946 km",PetrolDL-3C,1st Owner,"₹3,91,000"
2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"63,946 km",PetrolHR-16,1st Owner,"₹3,54,000"
2017,Maruti,Dzire VXI,Manual,"31,900 km",PetrolDL-9C,1st Owner,"₹6,49,000"
2012,Maruti,Swift Dzire VXI,Manual,"74,661 km",PetrolHR-26,1st Owner,"₹3,25,000"
2018,Honda,Amaze 1.2 V CVT I VTEC,Automatic,"11,951 km",PetrolDL-14,1st Owner,"₹7,39,300"
2013,Maruti,Swift Dzire VXI,Manual,"26,065 km",PetrolUP-16,1st Owner,"₹3,77,000"
2014,Honda,Amaze 1.2 EXMT I VTEC,Manual,"85,464 km",PetrolDL-9C,1st Owner,"₹3,73,800"
2020,Honda,City V MT PETROL,Manual,"25,106 km",PetrolHR-12,1st Owner,"₹10,67,000"
2017,Honda,City ZX CVT,Automatic,"27,838 km",PetrolDL-3C,1st Owner,"₹10,16,000"
2017,Maruti,Dzire ZDI Plus AMT,Automatic,"25,159 km",DieselDL-6C,1st Owner,"₹6,48,000"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"54,698 km",PetrolDL-10,1st Owner,"₹10,23,000"
2019,Maruti,Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,"61,867 km",PetrolDL-9C,1st Owner,"₹8,41,000"
2014,Hyundai,Xcent S 1.2 OPT,Manual,"90,060 km",PetrolDL-12,1st Owner,"₹3,94,000"
2017,Honda,City ZX CVT,Automatic,"27,740 km",PetrolUP-65,2nd Owner,"₹9,56,000"
2015,Maruti,Ciaz ZXI,Manual,"70,882 km",PetrolHR-26,1st Owner,"₹5,53,000"
2018,Honda,City V MT PETROL,Manual,"28,267 km",PetrolDL-10,1st Owner,"₹8,30,000"
2015,Maruti,Swift Dzire VXI,Manual,"46,303 km",PetrolDL-1C,1st Owner,"₹4,18,000"
2019,Honda,City ZX CVT,Automatic,"11,895 km",PetrolDL-3C,1st Owner,"₹11,80,000"
2015,Maruti,Ciaz VXI PLUS,Manual,"75,823 km",PetrolUP-16,1st Owner,"₹5,38,000"
2011,Toyota,Etios VX,Manual,"35,311 km",PetrolDL-3C,1st Owner,"₹3,30,000"
2021,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"10,439 km",PetrolDL-10,1st Owner,"₹11,54,000"
2012,Maruti,Swift Dzire VXI,Manual,"61,580 km",PetrolUP-14,1st Owner,"₹3,61,000"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"16,292 km",PetrolHR-26,2nd Owner,"₹10,38,000"
2019,Toyota,Etios GD,Manual,"37,186 km",DieselUP-16,1st Owner,"₹6,31,000"
2017,Maruti,Ciaz SIGMA 1.4 VVT,Manual,"10,684 km",PetrolDL-8C,1st Owner,"₹7,09,000"
2013,Honda,Amaze 1.2 SMT I VTEC,Manual,"58,239 km",PetrolUP-14,1st Owner,"₹3,67,000"
2018,Honda,Amaze 1.2 V CVT I VTEC,Automatic,"35,296 km",PetrolDL-1C,1st Owner,"₹7,42,000"
2019,Maruti,Dzire ZXI AMT,Automatic,"31,076 km",PetrolUP-14,1st Owner,"₹7,19,000"
2016,Maruti,Ciaz VXI,Manual,"41,796 km",PetrolHR-27,1st Owner,"₹5,95,000"
2010,Maruti,Swift Dzire ZXI 1.3,Manual,"77,946 km",PetrolDL-9C,2nd Owner,"₹2,66,000"
2021,Maruti,Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,"5,150 km",PetrolHR-98,1st Owner,"₹10,53,000"
2013,Honda,City S MT PETROL,Manual,"45,385 km",Petrol + CNGUP-16,1st Owner,"₹5,33,000"
2014,Honda,City VX MT PETROL,Manual,"61,168 km",PetrolHR-26,2nd Owner,"₹6,31,000"
2019,Maruti,Ciaz DELTA 1.5 SHVS VVT MT,Manual,"34,678 km",PetrolUP-14,1st Owner,"₹8,02,000"
2017,Maruti,Ciaz DELTA 1.3 DDIS SHVS,Manual,"56,700 km",DieselDL-5C,1st Owner,"₹6,15,000"
2012,Maruti,Swift Dzire VXI,Manual,"29,410 km",PetrolDL-8C,2nd Owner,"₹3,60,000"
2016,Honda,Amaze 1.2 SX MT I VTEC,Manual,"26,440 km",PetrolDL-8C,1st Owner,"₹5,53,000"
2015,Honda,City VX MT PETROL,Manual,"33,982 km",PetrolHR-26,1st Owner,"₹7,24,000"
2012,Maruti,Swift Dzire VXI,Manual,"74,661 km",PetrolHR-26,1st Owner,"₹3,25,000"
2018,Honda,Amaze 1.2 V CVT I VTEC,Automatic,"11,951 km",PetrolDL-14,1st Owner,"₹7,39,300"
2013,Maruti,Swift Dzire VXI,Manual,"26,065 km",PetrolUP-16,1st Owner,"₹3,77,000"
2014,Honda,Amaze 1.2 EXMT I VTEC,Manual,"85,464 km",PetrolDL-9C,1st Owner,"₹3,73,800"
2020,Honda,City V MT PETROL,Manual,"25,106 km",PetrolHR-12,1st Owner,"₹10,67,000"
2021,Mahindra,XUV 3OO 1.2 W6 MT,,"31,273 km",PetrolDL-3C,1st Owner,"₹10,95,000"
2020,Mahindra,XUV 3OO 1.2 W6 MT,,"30,557 km",PetrolDL-10,1st Owner,"₹9,19,000"
2019,Mahindra,XUV 3OO 1.5 W6 MT,Manual,"41,356 km",DieselUP-14,1st Owner,"₹8,30,000"
2022,Mahindra,XUV 3OO 1.2 W6 AT,,"22,158 km",PetrolDL-1C,1st Owner,"₹10,36,000"
2020,Mahindra,KUV 100 NXT K8 6 STR,Manual,"26,959 km",PetrolDL-8C,1st Owner,"₹6,94,000"
2018,Hyundai,Tucson New 2WD AT GL PETROL,Automatic,"33,253 km",PetrolUP-14,2nd Owner,"₹15,89,000"
2019,Jeep,Compass 1.4  LONGITUDE (O) AT,Automatic,"23,690 km",PetrolDL-3C,1st Owner,"₹19,23,000"
2018,Hyundai,Tucson New 2WD MT PETROL,Manual,"86,670 km",PetrolUP-14,2nd Owner,"₹14,38,000"
2017,Toyota,Corolla Altis G AT,Automatic,"75,766 km",PetrolDL-10,1st Owner,"₹12,58,000"
2014,Mercedes,Benz C Class C 200 AVANTGARDE,Automatic,"38,381 km",PetrolUP-16,1st Owner,"₹18,54,000"
2014,Audi,A3 35TDI PREMIUM,Automatic,"91,887 km",DieselHR-26,2nd Owner,"₹9,66,000"
2017,Toyota,Corolla Altis GL,Manual,"45,060 km",PetrolDL-10,2nd Owner,"₹11,98,000"
2014,Toyota,Corolla Altis VL AT,Automatic,"89,621 km",PetrolHR-26,1st Owner,"₹8,71,000"
2015,Audi,A6 2.0 TDI TECHNOLOGY,Automatic,"77,595 km",DieselUP-16,2nd Owner,"₹18,23,000"
2017,Toyota,Corolla Altis G,Manual,"16,398 km",PetrolHR-26,1st Owner,"₹12,43,000"
2013,BMW,X3 XDRIVE 20D,Automatic,"71,479 km",DieselHR-26,2nd Owner,"₹10,24,000"
2013,Jaguar,XF 2.2 DIESEL,Automatic,"29,159 km",DieselDL-6C,2nd Owner,"₹15,06,000"
2010,Toyota,Corolla Altis 1.8 J,Manual,"45,566 km",PetrolDL-4C,1st Owner,"₹3,15,000"
2018,Toyota,Corolla Altis VL AT,Automatic,"65,783 km",PetrolDL-1C,1st Owner,"₹14,48,000"
2013,Mercedes,Benz E Class E 220 CDI ELEGANCE,Automatic,"53,524 km",DieselHR-26,1st Owner,"₹10,68,000"
2015,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"47,620 km",Petrol + CNGDL-10,2nd Owner,"₹5,79,000"
2019,KIA,SELTOS HTK 1.5 PETROL,Manual,"25,687 km",PetrolDL-12,1st Owner,"₹11,34,000"
2017,Ford,Ecosport 1.5AMBIENTE TI VCT,Manual,"51,634 km",PetrolDL-3C,1st Owner,"₹5,65,000"
2015,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"56,027 km",DieselDL-8C,1st Owner,"₹7,88,000"
2018,Mahindra,Scorpio S3 2WD,Manual,"57,534 km",DieselDL-8C,1st Owner,"₹9,26,000"
2020,Maruti,S Cross ALPHA AT SMART HYBRID,Automatic,"22,816 km",PetrolHR-51,1st Owner,"₹12,34,000"
2013,Maruti,Ertiga VXI,Manual,"44,603 km",PetrolDL-12,1st Owner,"₹5,22,000"
2018,Hyundai,Creta 1.6 E + VTVT,Manual,"19,029 km",PetrolDL-5C,1st Owner,"₹9,64,000"
2019,Maruti,S Cross ALPHA SHVS,Manual,"50,528 km",DieselHR-26,1st Owner,"₹9,83,000"
2016,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"44,339 km",DieselHR-10,1st Owner,"₹8,86,000"
2022,Maruti,S Cross SIGMA 1.5 SHVS,Manual,"1,650 km",PetrolDL-8C,1st Owner,"₹9,20,000"
2020,KIA,SELTOS HTK PLUS 1.5 DIESEL,Manual,"30,426 km",DieselUP-44,1st Owner,"₹12,88,500"
2022,Maruti,Vitara Brezza VXI,Manual,"8,977 km",PetrolHR-30,2nd Owner,"₹9,56,000"
2019,Hyundai,Creta 1.6 SX VTVT,Manual,"12,793 km",PetrolDL-7C,1st Owner,"₹12,64,000"
2019,Hyundai,Creta 1.6 SX VTVT,Manual,"21,111 km",PetrolUP-16,1st Owner,"₹12,62,000"
2022,Tata,Safari XT+2.0 KRYOTEC,Manual,"6,192 km",DieselHR-51,1st Owner,"₹20,35,000"
2017,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"62,582 km",DieselUP-32,1st Owner,"₹9,96,000"
2021,Mahindra,Scorpio S5,Manual,"14,558 km",DieselDL-3C,2nd Owner,"₹13,88,000"
2016,Hyundai,Creta 1.6 S,Manual,"19,702 km",PetrolDL-1C,2nd Owner,"₹8,61,000"
2018,Tata,NEXON XM 1.2,Manual,"66,315 km",Petrol + CNGUP-15,1st Owner,"₹6,72,000"
2016,Hyundai,Creta 1.6 S,Manual,"41,910 km",PetrolDL-3C,1st Owner,"₹9,24,000"
2019,Mahindra,XUV500 W11 (O),Manual,"22,879 km",DieselDL-12,1st Owner,"₹15,98,000"
