MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
2017,Hyundai,New Elantra 2.0 SX MT,Manual,"61,472 km",PetrolWB-08,1st Owner,"₹8,29,000"
2018,Jeep,Compass LIMITED (O) 2.0,Manual,"47,631 km",DieselWB-26,2nd Owner,"₹11,77,000"
2019,Honda,City V MT PETROL,Manual,"45,064 km",PetrolWB-06,1st Owner,"₹8,45,000"
2015,Honda,City V MT PETROL,Manual,"59,467 km",PetrolWB-02,1st Owner,"₹4,75,000"
2016,Hyundai,Verna FLUIDIC 1.6 VTVT S,Manual,"23,940 km",PetrolWB-02,1st Owner,"₹5,22,000"
2014,Maruti,Swift Dzire VXI,Manual,"21,391 km",PetrolWB-02,2nd Owner,"₹4,18,000"
2016,Honda,City VX MT PETROL,Manual,"56,920 km",PetrolWB-02,1st Owner,"₹5,43,000"
2017,Maruti,Dzire ZXI AMT,Automatic,"23,143 km",PetrolWB-02,1st Owner,"₹5,74,000"
2019,Skoda,Rapid 1.6 MPI MT ACTIVE,Manual,"41,352 km",PetrolWB-02,1st Owner,"₹7,00,000"
2020,Maruti,Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,"5,768 km",PetrolWB-26,1st Owner,"₹9,19,699"
2011,Hyundai,Verna FLUIDIC 1.6 CRDI SX OPT,Manual,"54,125 km",DieselWB-06,1st Owner,"₹3,43,000"
2016,Hyundai,Verna FLUIDIC 1.6 SX VTVT,Manual,"62,067 km",PetrolWB-08,1st Owner,"₹5,18,000"
2018,Maruti,Dzire VXI,Manual,"27,563 km",PetrolWB-02,1st Owner,"₹5,55,000"
2019,Maruti,Dzire ZXI,Manual,"8,087 km",PetrolWB-26,1st Owner,"₹6,58,000"
2018,Maruti,Dzire VXI AMT,Automatic,"60,212 km",PetrolWB-14,1st Owner,"₹5,69,000"
2014,Hyundai,Xcent S 1.2,Manual,"83,419 km",PetrolWB-06,1st Owner,"₹3,70,000"
2014,Toyota,Etios CROSS VD,Manual,"62,285 km",DieselWB-12,1st Owner,"₹3,84,000"
2013,Volkswagen,Vento COMFORTLINE MT PETROL,Manual,"80,738 km",PetrolWB-02,2nd Owner,"₹2,34,000"
2011,Volkswagen,Vento TRENDLINE PETROL,Manual,"54,818 km",PetrolWB-06,1st Owner,"₹2,22,000"
2019,Honda,City SV MT PETROL,Manual,"13,434 km",PetrolWB-02,2nd Owner,"₹7,26,000"
2017,Volkswagen,Vento 1.2 TSI HIGHLINE PLUS AT,Automatic,"63,192 km",PetrolWB-08,1st Owner,"₹6,69,000"
2014,Honda,Amaze 1.2 VXMT I VTEC,Manual,"30,992 km",PetrolWB-08,2nd Owner,"₹3,75,000"
2018,Hyundai,Xcent SX 1.2,Manual,"44,174 km",PetrolWB-10,1st Owner,"₹5,02,000"
2018,Hyundai,Xcent E PLUS,Manual,"36,913 km",PetrolWB-10,2nd Owner,"₹4,45,000"
2013,Maruti,Swift Dzire VDI,Manual,"83,859 km",DieselWB-02,1st Owner,"₹3,69,000"
2017,Maruti,Dzire VXI,Manual,"23,531 km",PetrolWB-08,1st Owner,"₹5,25,000"
2018,Hyundai,Verna 1.4 VTVT E,Manual,"31,681 km",PetrolWB-02,1st Owner,"₹6,52,000"
2014,Hyundai,Xcent S 1.2,Manual,"36,857 km",PetrolWB-02,2nd Owner,"₹3,81,000"
2018,Hyundai,Verna 1.6 SX VTVT,Manual,"57,604 km",PetrolWB-08,1st Owner,"₹7,13,000"
2019,Honda,City V MT PETROL,Manual,"20,580 km",PetrolWB-02,1st Owner,"₹7,84,000"
2018,Honda,Amaze 1.2 VXMT I VTEC,Manual,"30,724 km",PetrolWB-26,1st Owner,"₹6,75,000"
2021,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"14,027 km",PetrolWB-02,1st Owner,"₹10,18,000"
2014,Toyota,Etios CROSS VD,Manual,"62,285 km",DieselWB-12,1st Owner,"₹3,84,000"
2019,Volkswagen,Vento COMFORTLINE MT PETROL,Manual,"10,624 km",PetrolWB-06,1st Owner,"₹6,47,000"
2014,Toyota,Etios CROSS 1.5 V,Manual,"59,283 km",PetrolWB-02,1st Owner,"₹3,96,000"
2014,Maruti,Swift Dzire VXI,Manual,"76,703 km",PetrolWB-02,1st Owner,"₹3,94,000"
2013,Volkswagen,Vento COMFORTLINE MT PETROL,Manual,"80,738 km",PetrolWB-02,2nd Owner,"₹2,34,000"
2013,Honda,Amaze 1.5 EMT I DTEC,Manual,"75,528 km",DieselWB-02,2nd Owner,"₹3,15,000"
2021,Mahindra,XUV 3OO 1.2 W4 MT,,"15,777 km",PetrolWB-12,1st Owner,"₹7,52,000"
2020,Mahindra,KUV 100 NXT K6+ 6 STR,Manual,"60,094 km",PetrolWB-20,2nd Owner,"₹5,07,000"
2018,Jeep,Compass LIMITED (O) 2.0,Manual,"47,631 km",DieselWB-26,2nd Owner,"₹11,77,000"
2015,Toyota,Corolla Altis G,Manual,"68,288 km",PetrolWB-08,2nd Owner,"₹5,76,000"
2017,Hyundai,New Elantra 2.0 SX MT,Manual,"61,472 km",PetrolWB-08,1st Owner,"₹8,29,000"
2018,Toyota,Corolla Altis VL AT,Automatic,"34,316 km",PetrolWB-06,2nd Owner,"₹13,58,000"
2022,Maruti,Eeco 7 STR STD(O),Manual,870 km,PetrolWB-02,1st Owner,"₹5,24,000"
2020,Mahindra,Scorpio S11,Manual,"32,247 km",DieselWB-24,1st Owner,"₹15,55,600"
2019,Renault,TRIBER 1.0 RXL PETROL,Manual,"4,208 km",PetrolWB-20,1st Owner,"₹5,69,000"
2016,Hyundai,Creta 1.6 SX PLUS VTVT,Manual,"27,312 km",PetrolWB-26,1st Owner,"₹7,83,500"
2016,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"74,260 km",DieselWB-08,1st Owner,"₹6,47,000"
2019,MG,HECTOR SHARP DCT PETROL,Automatic,"23,953 km",PetrolWB-10,1st Owner,"₹14,34,000"
2016,Hyundai,Creta 1.6 S,Manual,"57,240 km",PetrolWB-02,1st Owner,"₹6,87,000"
2013,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"59,685 km",DieselWB-02,2nd Owner,"₹4,86,000"
2014,Ford,Ecosport 1.0 ECOBOOST TITANIUM,Manual,"75,658 km",PetrolWB-20,1st Owner,"₹5,30,000"
2015,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"55,721 km",DieselWB-02,1st Owner,"₹4,31,000"
2015,Datsun,Go Plus T,Manual,"50,876 km",PetrolWB-24,2nd Owner,"₹2,46,000"
2015,Ford,Ecosport 1.5 TITANIUMTDCI OPT,Manual,"52,613 km",DieselWB-02,2nd Owner,"₹5,06,000"
2018,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"54,544 km",PetrolWB-06,1st Owner,"₹6,64,000"
2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"75,368 km",PetrolWB-02,1st Owner,"₹6,32,000"
2015,Datsun,Go Plus T,Manual,"50,876 km",PetrolWB-24,2nd Owner,"₹2,46,000"
2015,Ford,Ecosport 1.5 TITANIUMTDCI OPT,Manual,"52,613 km",DieselWB-02,2nd Owner,"₹5,06,000"
2018,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"54,544 km",PetrolWB-06,1st Owner,"₹6,64,000"
2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"75,368 km",PetrolWB-02,1st Owner,"₹6,32,000"
2017,Mahindra,Bolero POWER+ SLE,Manual,"45,095 km",DieselWB-02,1st Owner,"₹5,75,800"
2019,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"21,732 km",PetrolWB-02,1st Owner,"₹7,07,000"
2018,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"32,763 km",PetrolWB-02,2nd Owner,"₹7,58,000"
2015,Maruti,Ertiga ZDI,Manual,"51,660 km",DieselWB-02,1st Owner,"₹6,08,000"
2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"14,450 km",PetrolWB-02,1st Owner,"₹9,20,000"
2017,Maruti,Vitara Brezza VDI OPT,Manual,"38,041 km",DieselWB-18,1st Owner,"₹6,75,300"
2018,Hyundai,Creta 1.6 SX VTVT,Manual,"29,130 km",PetrolWB-02,1st Owner,"₹9,12,000"
2019,Hyundai,Creta 1.6 SX (O) VTVT,Manual,"48,064 km",PetrolWB-50,2nd Owner,"₹10,24,000"
2017,Maruti,Ertiga VXI ABS,Manual,"53,056 km",PetrolWB-24,1st Owner,"₹6,76,000"
2019,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"38,474 km",DieselWB-02,1st Owner,"₹8,52,000"
2017,Hyundai,Creta 1.4 E PLUS CRDI,Manual,"93,051 km",DieselWB-02,1st Owner,"₹7,27,000"
2019,Renault,TRIBER 1.0 RXL PETROL,Manual,"29,883 km",PetrolWB-24,2nd Owner,"₹5,43,000"
2018,Hyundai,Creta 1.6 E + VTVT,Manual,"39,813 km",PetrolWB-12,1st Owner,"₹7,62,000"
2018,Honda,WR-V 1.5 i-DTEC S MT,Manual,"97,986 km",DieselWB-20,1st Owner,"₹5,28,000"
2021,Renault,TRIBER 1.0 RXZ,Manual,"6,799 km",PetrolWB-26,1st Owner,"₹6,57,000"
2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"17,839 km",PetrolWB-08,1st Owner,"₹9,20,000"
2020,Maruti,Alto VXI PLUS,Manual,"53,479 km",PetrolWB-12,1st Owner,"₹4,03,000"
2010,Maruti,Ritz LXI,Manual,"36,143 km",PetrolWB-06,2nd Owner,"₹1,85,000"
2021,Maruti,Celerio VXI,Manual,"7,726 km",PetrolWB-06,1st Owner,"₹5,27,000"
2020,Maruti,Alto VXI,Manual,"13,046 km",PetrolWB-18,2nd Owner,"₹3,74,000"
2021,Maruti,Baleno ZETA PETROL 1.2,,"2,781 km",PetrolWB-12,1st Owner,"₹7,29,000"
2020,Maruti,Alto LXI,Manual,"26,994 km",PetrolWB-98,1st Owner,"₹4,06,000"
2020,Maruti,Alto LXI,Manual,"5,557 km",PetrolWB-10,1st Owner,"₹3,97,000"
2018,Maruti,Baleno ZETA PETROL 1.2,,"24,347 km",PetrolWB-02,2nd Owner,"₹6,43,300"
2021,Maruti,Swift ZXI+,Manual,"24,738 km",PetrolWB-26,1st Owner,"₹7,36,000"
2010,Maruti,Alto LXI,Manual,"62,643 km",PetrolWB-06,2nd Owner,"₹1,38,000"
2020,Maruti,IGNIS ALPHA 1.2 K12,Manual,"6,155 km",PetrolWB-02,1st Owner,"₹5,90,000"
2017,Maruti,Baleno DELTA CVT PETROL 1.2,,"11,861 km",PetrolWB-02,2nd Owner,"₹5,77,000"
2018,Maruti,Swift VXI AMT,Automatic,"25,410 km",PetrolWB-02,1st Owner,"₹5,32,000"
2017,Maruti,Dzire ZXI AMT,Automatic,"23,143 km",PetrolWB-02,1st Owner,"₹5,74,000"
2020,Maruti,Alto LXI,Manual,"26,856 km",PetrolWB-24,1st Owner,"₹3,58,000"
2021,Maruti,Alto VXI,Manual,"7,688 km",PetrolWB-16,1st Owner,"₹3,74,000"
2019,Maruti,Swift VXI,Manual,"21,388 km",PetrolWB-12,1st Owner,"₹5,76,000"
2020,Maruti,Alto LXI,Manual,"14,282 km",PetrolWB-24,1st Owner,"₹3,44,000"
2012,Maruti,Swift VXI,Manual,"18,970 km",PetrolWB-20,1st Owner,"₹3,49,000"
2015,Maruti,Swift ZXI,Manual,"24,245 km",PetrolWB-12,1st Owner,"₹4,57,899"
2019,Maruti,Dzire VXI,Manual,"25,144 km",PetrolWB-02,1st Owner,"₹5,61,000"
2020,Maruti,Baleno ALPHA 1.2K12  AT,Automatic,"6,119 km",PetrolWB-06,1st Owner,"₹7,93,000"
2019,Maruti,Baleno DELTA 1.2 K12,Manual,"46,309 km",PetrolWB-02,1st Owner,"₹5,78,000"
2015,Maruti,Baleno ALPHA PETROL 1.2,,"77,412 km",PetrolWB-02,1st Owner,"₹4,92,000"
2020,Maruti,Swift VXI,Manual,"2,944 km",PetrolWB-24,1st Owner,"₹6,17,000"
2017,Maruti,Ertiga VXI ABS,Manual,"53,056 km",PetrolWB-24,1st Owner,"₹6,76,000"
2015,Maruti,Baleno ZETA PETROL 1.2,Manual,"29,936 km",PetrolWB-02,1st Owner,"₹5,05,000"
2018,Maruti,Baleno DELTA 1.2 K12,Manual,"24,747 km",PetrolWB-16,1st Owner,"₹5,89,000"
2015,Maruti,Ertiga ZDI,Manual,"51,660 km",DieselWB-02,1st Owner,"₹6,08,000"
2017,Maruti,Baleno ALPHA PETROL 1.2,,"54,171 km",PetrolWB-02,2nd Owner,"₹5,56,000"
2020,Maruti,Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,"5,768 km",PetrolWB-26,1st Owner,"₹9,19,699"
2013,Maruti,Swift VXI,Manual,"65,033 km",PetrolWB-22,1st Owner,"₹3,44,000"
2015,Maruti,Celerio VXI,Manual,"24,063 km",PetrolWB-02,1st Owner,"₹3,48,000"
2018,Maruti,Swift VXI,Manual,"16,301 km",PetrolWB-24,1st Owner,"₹5,47,000"
2019,Maruti,Dzire ZXI,Manual,"8,087 km",PetrolWB-26,1st Owner,"₹6,58,000"
2021,Maruti,Alto LXI,Manual,"3,497 km",PetrolWB-12,1st Owner,"₹4,02,000"
2018,Maruti,Dzire VXI,Manual,"27,563 km",PetrolWB-02,1st Owner,"₹5,55,000"
2018,Maruti,Dzire VXI AMT,Automatic,"60,212 km",PetrolWB-14,1st Owner,"₹5,69,000"
2019,Maruti,Swift VXI,Manual,"46,282 km",PetrolWB-34,2nd Owner,"₹5,48,000"
2012,Maruti,Swift VXI,Manual,"85,874 km",PetrolWB-06,1st Owner,"₹3,11,000"
2010,Maruti,Ritz LXI,Manual,"36,143 km",PetrolWB-06,2nd Owner,"₹1,85,000"
2020,Maruti,Alto VXI PLUS,Manual,"53,479 km",PetrolWB-12,1st Owner,"₹4,03,000"
2020,Maruti,Alto LXI,Manual,"5,557 km",PetrolWB-10,1st Owner,"₹3,97,000"
2020,Maruti,Alto LXI,Manual,"26,994 km",PetrolWB-98,1st Owner,"₹4,06,000"
2021,Maruti,Baleno ZETA PETROL 1.2,,"2,781 km",PetrolWB-12,1st Owner,"₹7,29,000"
2018,Maruti,Swift VXI AMT,Automatic,"25,410 km",PetrolWB-02,1st Owner,"₹5,32,000"
2017,Maruti,Baleno DELTA CVT PETROL 1.2,,"11,861 km",PetrolWB-02,2nd Owner,"₹5,77,000"
2020,Maruti,IGNIS ALPHA 1.2 K12,Manual,"6,155 km",PetrolWB-02,1st Owner,"₹5,90,000"
2018,Maruti,Baleno ZETA PETROL 1.2,,"24,347 km",PetrolWB-02,2nd Owner,"₹6,43,300"
2010,Maruti,Alto LXI,Manual,"62,643 km",PetrolWB-06,2nd Owner,"₹1,38,000"
2017,Maruti,Dzire ZXI AMT,Automatic,"23,143 km",PetrolWB-02,1st Owner,"₹5,74,000"
2020,Maruti,Alto VXI,Manual,"13,046 km",PetrolWB-18,2nd Owner,"₹3,74,000"
2020,Maruti,Alto LXI,Manual,"26,856 km",PetrolWB-24,1st Owner,"₹3,58,000"
2016,Maruti,Baleno ZETA 1.2 K12,Manual,"57,014 km",PetrolWB-02,1st Owner,"₹4,97,000"
2018,Maruti,Baleno ZETA 1.2 K12,Manual,"28,969 km",PetrolWB-02,1st Owner,"₹6,26,000"
2019,Maruti,Swift VXI,Manual,"17,035 km",PetrolWB-02,1st Owner,"₹5,48,000"
2015,Maruti,Celerio VXI,Manual,"11,362 km",PetrolWB-02,1st Owner,"₹3,69,000"
2014,Maruti,Swift VXI,Manual,"47,799 km",PetrolWB-26,1st Owner,"₹3,84,000"
2020,Maruti,Alto LXI,Manual,"32,005 km",PetrolWB-12,1st Owner,"₹3,17,000"
2022,Maruti,Eeco 7 STR STD(O),Manual,870 km,PetrolWB-02,1st Owner,"₹5,24,000"
2014,Toyota,Etios CROSS VD,Manual,"62,285 km",DieselWB-12,1st Owner,"₹3,84,000"
2014,Toyota,Etios CROSS 1.5 V,Manual,"59,283 km",PetrolWB-02,1st Owner,"₹3,96,000"
2015,Toyota,Corolla Altis G,Manual,"68,288 km",PetrolWB-08,2nd Owner,"₹5,76,000"
2018,Toyota,Corolla Altis VL AT,Automatic,"34,316 km",PetrolWB-06,2nd Owner,"₹13,58,000"
2011,Hyundai,Verna FLUIDIC 1.6 CRDI SX OPT,Manual,"54,125 km",DieselWB-06,1st Owner,"₹3,43,000"
2014,Hyundai,Xcent S 1.2,Manual,"36,857 km",PetrolWB-02,2nd Owner,"₹3,81,000"
2014,Hyundai,Xcent S 1.2,Manual,"83,362 km",PetrolWB-06,1st Owner,"₹3,70,000"
2013,Honda,Amaze 1.5 EMT I DTEC,Manual,"75,360 km",DieselWB-02,2nd Owner,"₹3,15,000"
2013,Maruti,Swift Dzire VDI,Manual,"83,792 km",DieselWB-02,1st Owner,"₹3,69,000"
2020,Mahindra,Scorpio S11,Manual,"32,247 km",DieselWB-24,1st Owner,"₹15,55,600"
2017,Mahindra,Bolero POWER+ SLE,Manual,"45,095 km",DieselWB-02,1st Owner,"₹5,75,800"
2018,Mahindra,TUV300 T 10 MT Dual Tone,Manual,"76,226 km",DieselWB-10,1st Owner,"₹6,85,000"
2019,Mahindra,XUV500 W9,Manual,"7,727 km",DieselWB-20,1st Owner,"₹13,41,000"
2021,Mahindra,MARAZZO M2 8 STR,,"9,238 km",DieselWB-20,1st Owner,"₹11,16,000"
2021,Mahindra,Scorpio S11,Manual,"26,772 km",DieselWB-38,2nd Owner,"₹15,64,000"
2020,Mahindra,MARAZZO M 6 + 7 STR,,"10,455 km",DieselWB-24,1st Owner,"₹11,17,000"
2021,Mahindra,MARAZZO M2 7STR,,"36,089 km",DieselWB-02,1st Owner,"₹10,01,000"
2019,Mahindra,Thar CRDI 4x4 6str AC,Manual,"12,969 km",DieselWB-96,2nd Owner,"₹7,99,000"
2020,Mahindra,KUV 100 NXT K6+ 6 STR,Manual,"60,094 km",PetrolWB-20,2nd Owner,"₹5,07,000"
2021,Mahindra,XUV 3OO 1.2 W4 MT,,"15,777 km",PetrolWB-12,1st Owner,"₹7,52,000"
2022,Mahindra,BOLERO NEO N 10,,"1,341 km",DieselWB-20,1st Owner,"₹11,89,000"
2018,Tata,Tiago XZA 1.2 REVOTRON,Automatic,"70,064 km",PetrolWB-26,1st Owner,"₹4,03,000"
2020,Tata,NEXON XZA+ (O) 1.5  RTQ,Automatic,"73,072 km",DieselWB-18,1st Owner,"₹11,45,000"
2020,Tata,Tiago XT 1.2 REVOTRON,Manual,"10,118 km",PetrolWB-06,1st Owner,"₹5,09,700"
2021,Tata,NEXON XZ+ SUNROOF 1.2 RTN,Manual,"6,555 km",PetrolWB-26,1st Owner,"₹10,03,000"
2016,Tata,Tiago XZ 1.2 REVOTRON,Manual,"63,316 km",PetrolWB-02,1st Owner,"₹3,23,000"
2015,Hyundai,Elite i20 ASTA 1.2,Manual,"66,780 km",PetrolWB-02,1st Owner,"₹4,68,000"
2018,Hyundai,Elite i20 ASTA 1.2,Manual,"22,621 km",PetrolWB-08,1st Owner,"₹5,99,000"
2016,Hyundai,Elite i20 ASTA 1.2,Manual,"6,356 km",PetrolWB-20,2nd Owner,"₹4,96,000"
2015,Hyundai,Elite i20 ASTA 1.2,Manual,"54,136 km",PetrolWB-02,1st Owner,"₹4,86,000"
2015,Hyundai,Elite i20 ASTA 1.2,Manual,"40,849 km",PetrolWB-02,1st Owner,"₹4,66,000"
2021,Maruti,Baleno ZETA PETROL 1.2,,"2,781 km",PetrolWB-12,1st Owner,"₹7,29,000"
2018,Maruti,Baleno ZETA PETROL 1.2,,"24,347 km",PetrolWB-02,2nd Owner,"₹6,43,300"
2022,Maruti,IGNIS ZETA 1.2 K12,Manual,"2,416 km",PetrolWB-26,1st Owner,"₹6,71,000"
2016,Maruti,Baleno ZETA 1.2 K12,Manual,"57,014 km",PetrolWB-02,1st Owner,"₹4,97,000"
2020,Maruti,Baleno ZETA PETROL 1.2,,"8,861 km",PetrolWB-06,1st Owner,"₹7,12,000"
2018,Maruti,Baleno ZETA 1.2 K12,Manual,"28,969 km",PetrolWB-02,1st Owner,"₹6,26,000"
2016,Maruti,Baleno ZETA PETROL 1.2,Manual,"62,411 km",PetrolWB-02,1st Owner,"₹5,18,000"
2018,Hyundai,Elite i20 ASTA 1.4 CRDI,Manual,"91,106 km",DieselWB-24,1st Owner,"₹5,86,000"
2019,Hyundai,NEW SANTRO ASTA 1.1 MT,Manual,"42,119 km",PetrolWB-30,1st Owner,"₹4,38,000"
2015,Maruti,Baleno ZETA PETROL 1.2,Manual,"29,936 km",PetrolWB-02,1st Owner,"₹5,05,000"
2016,Maruti,Baleno ZETA PETROL 1.2,Manual,"62,411 km",PetrolWB-02,1st Owner,"₹5,18,000"
2022,Maruti,IGNIS ZETA 1.2 K12,Manual,"2,416 km",PetrolWB-26,1st Owner,"₹6,71,000"
2018,Hyundai,Elite i20 ASTA 1.4 CRDI,Manual,"91,106 km",DieselWB-24,1st Owner,"₹5,86,000"
2019,Hyundai,NEW SANTRO ASTA 1.1 MT,Manual,"42,119 km",PetrolWB-30,1st Owner,"₹4,38,000"
2015,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,Manual,"21,227 km",PetrolWB-12,1st Owner,"₹3,44,000"
2020,Maruti,S Cross ZETA AT 1.5 SHVS,,"11,707 km",PetrolWB-06,1st Owner,"₹9,44,000"
2019,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,Manual,"25,600 km",PetrolWB-08,1st Owner,"₹4,74,000"
2018,Toyota,Corolla Altis VL AT,Automatic,"34,316 km",PetrolWB-06,2nd Owner,"₹13,58,000"
2017,Renault,Kwid RXT 1.0 EASY-R  AT,Automatic,"39,955 km",PetrolWB-02,2nd Owner,"₹3,30,200"
2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"14,450 km",PetrolWB-02,1st Owner,"₹9,20,000"
2014,Volkswagen,Polo GT TSI 1.2 PETROL AT,Automatic,"27,135 km",PetrolWB-08,1st Owner,"₹5,39,000"
2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"17,839 km",PetrolWB-08,1st Owner,"₹9,20,000"
2021,Volkswagen,Polo GT TSI AT 1.0,Automatic,"11,068 km",PetrolWB-20,3rd Owner,"₹8,49,000"
2018,Hyundai,Creta 1.6 SX AT CRDI,Automatic,"56,907 km",DieselWB-08,1st Owner,"₹10,40,000"
2020,KIA,SELTOS 1.5 GTX+ AT,Automatic,"67,419 km",DieselWB-12,1st Owner,"₹14,18,000"
2020,Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,Automatic,"15,344 km",PetrolWB-08,1st Owner,"₹9,16,200"
2020,Maruti,Baleno ALPHA 1.2K12  AT,Automatic,"6,119 km",PetrolWB-06,1st Owner,"₹7,93,000"
2021,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"14,027 km",PetrolWB-02,1st Owner,"₹10,18,000"
2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"15,763 km",PetrolWB-20,1st Owner,"₹9,42,000"
2021,Renault,Kwid 1.0 RXT Opt AT,Automatic,"23,502 km",PetrolWB-06,1st Owner,"₹3,73,000"
2021,Mahindra,XUV 3OO W8 DIESEL MT,,"33,888 km",DieselGJ-01,1st Owner,"₹13,18,000"
2022,Mahindra,XUV 3OO W6 AT,,"4,339 km",DieselGJ-01,1st Owner,"₹11,78,000"
2020,Mahindra,XUV 3OO W8 DIESEL AT,,"55,859 km",DieselGJ-01,1st Owner,"₹10,33,000"
2021,Mahindra,XUV 3OO W8(O),Manual,"68,053 km",DieselGJ-06,1st Owner,"₹10,88,000"
2022,Tata,Harrier XZ+ DARK EDITION,Manual,"14,669 km",DieselGJ-38,1st Owner,"₹21,61,000"
2021,Mahindra,Scorpio S11,Manual,"13,743 km",DieselGJ-18,1st Owner,"₹18,32,000"
2020,Mahindra,XUV500 W11,Manual,"80,016 km",DieselGJ-18,1st Owner,"₹13,50,000"
2020,Hyundai,Creta 1.5 SX (O) AT,Automatic,"44,497 km",PetrolGJ-01,1st Owner,"₹15,18,000"
2022,Tata,NEXON XZ+ SUNROOF 1.2 RTN,Manual,"4,871 km",PetrolGJ-01,1st Owner,"₹11,15,000"
2021,Mahindra,Thar LX PETROL AT 4WD,Automatic,"1,302 km",PetrolGJ-05,1st Owner,"₹15,61,000"
2021,MG,HECTOR SHARP 2.0 DIESEL,Manual,"8,401 km",DieselGJ-03,1st Owner,"₹18,51,000"
2019,KIA,SELTOS HTK 1.5 PETROL,Manual,"19,836 km",PetrolGJ-15,1st Owner,"₹10,22,000"
2021,Hyundai,Creta EX MT,Manual,"3,265 km",PetrolGJ-06,2nd Owner,"₹11,59,600"
2020,KIA,SELTOS HTK PLUS 1.5 DIESEL,Manual,"53,390 km",DieselGJ-16,1st Owner,"₹12,94,000"
2015,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"85,444 km",PetrolGJ-01,1st Owner,"₹5,59,000"
2021,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"2,580 km",PetrolGJ-27,1st Owner,"₹5,36,000"
2022,Renault,TRIBER 1.0 RXL PETROL,Manual,"2,149 km",PetrolGJ-06,1st Owner,"₹6,99,000"
2019,MG,HECTOR SHARP 2.0 DIESEL,Manual,"93,271 km",DieselGJ-27,1st Owner,"₹14,60,000"
2019,Maruti,XL6 ALPHA SHVS  MT,Manual,"14,749 km",PetrolGJ-27,1st Owner,"₹10,56,000"
2019,Renault,TRIBER 1.0 RXZ,Manual,"30,433 km",PetrolGJ-06,1st Owner,"₹6,21,000"
2019,Renault,TRIBER 1.0 RXL PETROL,Manual,"4,208 km",PetrolWB-20,1st Owner,"₹5,69,000"
2013,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"59,685 km",DieselWB-02,2nd Owner,"₹4,86,000"
2014,Ford,Ecosport 1.0 ECOBOOST TITANIUM,Manual,"75,658 km",PetrolWB-20,1st Owner,"₹5,30,000"
2018,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"54,544 km",PetrolWB-06,1st Owner,"₹6,64,000"
2015,Ford,Ecosport 1.5 TITANIUMTDCI OPT,Manual,"52,613 km",DieselWB-02,2nd Owner,"₹5,06,000"
2015,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"55,721 km",DieselWB-02,1st Owner,"₹4,31,000"
2019,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"21,732 km",PetrolWB-02,1st Owner,"₹7,07,000"
2018,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"32,763 km",PetrolWB-02,2nd Owner,"₹7,58,000"
2016,Hyundai,Creta 1.6 S,Manual,"57,240 km",PetrolWB-02,1st Owner,"₹6,87,000"
2017,Mahindra,Bolero POWER+ SLE,Manual,"45,095 km",DieselWB-02,1st Owner,"₹5,75,800"
2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"75,368 km",PetrolWB-02,1st Owner,"₹6,32,000"
2019,Hyundai,Creta 1.6 SX (O) VTVT,Manual,"48,064 km",PetrolWB-50,2nd Owner,"₹10,24,000"
2017,Maruti,Ertiga VXI ABS,Manual,"53,056 km",PetrolWB-24,1st Owner,"₹6,76,000"
2019,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"38,474 km",DieselWB-02,1st Owner,"₹8,52,000"
2018,Hyundai,Creta 1.6 SX VTVT,Manual,"29,130 km",PetrolWB-02,1st Owner,"₹9,12,000"
2019,Hyundai,VENUE 1.0 TURBO GDI SX+ AT,Automatic,"14,450 km",PetrolWB-02,1st Owner,"₹9,20,000"
